timestamp,et0
1657162800,5.372910186221661
1657249200,7.349592356597277
1657335600,6.980904923503255
1657422000,7.585925599657729
1657508400,8.490416606221343
1657594800,7.4766914689696895
1657681200,5.551177180751499
1657767600,7.990926480522138
1657854000,9.387897691551277
1657940400,9.120905969341361
1658026800,7.74487341069223
1658113200,7.235504372689254
1658199600,7.8504829163614716
1658286000,8.888823308358978
1658372400,8.604023061597443
1658458800,8.541011810100091
1658545200,8.990007299387209
1658631600,11.446442179279531
1658718000,8.10972930148549
1658804400,6.893808857222503
1658890800,6.746132857837553
1658977200,5.566006414443828
1659063600,6.001721511296075
