timestamp,air_temperature
1657062000,21.865
1657065600,21.11
1657069200,20.55
1657072800,19.97
1657076400,20.665
1657080000,20.89
1657083600,22.285
1657087200,26.18
1657090800,28.055
1657094400,28.735
1657098000,29.39
1657101600,30.065
1657105200,30.79
1657108800,30.71
1657112400,29.165
1657116000,28.62
1657119600,28.04
1657123200,30.02
1657126800,29.745
1657130400,27.685
1657134000,21.79
1657137600,19.595
1657141200,19.02
1657144800,19.22
1657148400,19.14
1657152000,18.445
1657155600,18.275
1657159200,17.915
1657162800,17.59
1657166400,18.515
1657170000,21.595
1657173600,25.33
1657177200,27.68
1657180800,29.42
1657184400,30.07
1657188000,30.74
1657191600,31.17
1657195200,31.715
1657198800,31.59
1657202400,31.475
1657206000,30.025
1657209600,30.89
1657213200,29.37
1657216800,27.33
1657220400,22.205
1657224000,19.31
1657227600,18.605
1657231200,17.17
1657234800,16.74
1657238400,16.405
1657242000,16.05
1657245600,15.72
1657249200,15.91
1657252800,16.84
1657256400,19.7
1657260000,22.805
1657263600,25.24
1657267200,25.735
1657270800,26.67
1657274400,27.155
1657278000,27.87
1657281600,28.455
1657285200,29.25
1657288800,29.155
1657292400,28.905
1657296000,28.735
1657299600,28.13
1657303200,25.065
1657306800,18.9
1657310400,18.1
1657314000,17.585
1657317600,17.12
1657321200,16.915
1657324800,16.89
1657328400,16.425
1657332000,15.985
1657335600,15.56
1657339200,16.225
1657342800,21.855
1657346400,25.77
1657350000,25.355
1657353600,25.79
1657357200,26.3
1657360800,26.83
1657364400,27.345
1657368000,27.825
1657371600,28.365
1657375200,28.235
1657378800,28.41
1657382400,28.285
1657386000,27.12
1657389600,25.045
1657393200,19.42
1657396800,16.93
1657400400,16.915
1657404000,16.805
1657407600,16.63
1657411200,16.195
1657414800,15.84
1657418400,15.485
1657422000,15.11
1657425600,15.975
1657429200,19.525
1657432800,23.02
1657436400,27.205
1657440000,28.765
1657443600,28.6
1657447200,29.77
1657450800,30.605
1657454400,31.575
1657458000,32.11
1657461600,32.155
1657465200,32.26
1657468800,31.47
1657472400,30.105
1657476000,27.64
1657479600,22.685
1657483200,19.725
1657486800,20.81
1657490400,20.04
1657494000,19.42
1657497600,19.24
1657501200,18.46
1657504800,16.155
1657508400,15.885
1657512000,16.365
1657515600,20.52
1657519200,24.425
1657522800,25.955
1657526400,27.435
1657530000,28.7
1657533600,30.355
1657537200,30.69
1657540800,30.615
1657544400,29.925
1657548000,29.565
1657551600,29.42
1657555200,28.95
1657558800,28.255
1657562400,26.055
1657566000,23.225
1657569600,20.36
1657573200,19.15
1657576800,19.295
1657580400,19.235
1657584000,18.395
1657587600,17.83
1657591200,18.455
1657594800,18.115
1657598400,17.915
1657602000,21.28
1657605600,23.425
1657609200,25.22
1657612800,26.9
1657616400,27.445
1657620000,28.545
1657623600,29.53
1657627200,29.445
1657630800,29.865
1657634400,29.715
1657638000,28.985
1657641600,28.9
1657645200,27.84
1657648800,26.165
1657652400,23.89
1657656000,21.43
1657659600,20.225
1657663200,19.21
1657666800,18.72
1657670400,18.08
1657674000,17.245
1657677600,16.825
1657681200,16.43
1657684800,17.525
1657688400,21.105
1657692000,24.615
1657695600,26.865
1657699200,27.38
1657702800,28.33
1657706400,29.32
1657710000,30.59
1657713600,31.41
1657717200,31.82
1657720800,32.56
1657724400,32.03
1657728000,30.69
1657731600,30.245
1657735200,27.295
1657738800,20.695
1657742400,18.915
1657746000,19.43
1657749600,19.475
1657753200,18.765
1657756800,18.125
1657760400,17.665
1657764000,17.295
1657767600,16.795
1657771200,17.855
1657774800,21.245
1657778400,24.685
1657782000,28.625
1657785600,31.125
1657789200,31.29
1657792800,32.865
1657796400,34.15
1657800000,34.745
1657803600,34.08
1657807200,34.145
1657810800,33.77
1657814400,33.33
1657818000,32.08
1657821600,29.015
1657825200,22.65
1657828800,20.315
1657832400,20.43
1657836000,21.55
1657839600,22.075
1657843200,22.66
1657846800,22.23
1657850400,21.815
1657854000,21.27
1657857600,21.67
1657861200,24.95
1657864800,28.505
1657868400,32.44
1657872000,32.465
1657875600,33.515
1657879200,34.43
1657882800,35.595
1657886400,36.71
1657890000,37.895
1657893600,35.63
1657897200,35.005
1657900800,34.725
1657904400,34.24
1657908000,31.84
1657911600,26.765
1657915200,24.98
1657918800,22.2
1657922400,23.215
1657926000,22.535
1657929600,19.52
1657933200,19.42
1657936800,18.31
1657940400,16.99
1657944000,18.42
1657947600,24.285
1657951200,27.79
1657954800,28.27
1657958400,29.93
1657962000,31.93
1657965600,33.01
1657969200,33.27
1657972800,34.175
1657976400,34.345
1657980000,33.96
1657983600,33.435
1657987200,32.39
1657990800,31.215
