timestamp,air_humidity
1657062000,79.7
1657065600,81.95
1657069200,84.05
1657072800,85.45
1657076400,85.6
1657080000,83.6
1657083600,81.5
1657087200,74.5
1657090800,68.8
1657094400,65.35
1657098000,60.4
1657101600,57.35
1657105200,54.65
1657108800,51.55
1657112400,51.45
1657116000,51.7
1657119600,55.85
1657123200,54.1
1657126800,51.2
1657130400,55.25
1657134000,72.15
1657137600,79.25
1657141200,81.65
1657144800,80.45
1657148400,80.7
1657152000,82.8
1657155600,83.5
1657159200,83.75
1657162800,84.1
1657166400,82.05
1657170000,74.55
1657173600,66.6
1657177200,62.55
1657180800,61.2
1657184400,57.8
1657188000,55.1
1657191600,53.45
1657195200,52.35
1657198800,52.1
1657202400,52.75
1657206000,54.5
1657209600,52.9
1657213200,53.2
1657216800,59.2
1657220400,70.9
1657224000,87.55
1657227600,85.55
1657231200,89.3
1657234800,91.8
1657238400,92.45
1657242000,92.55
1657245600,93.1
1657249200,93.3
1657252800,92.25
1657256400,85
1657260000,78.35
1657263600,71.9
1657267200,68.1
1657270800,62.7
1657274400,58.05
1657278000,52.9
1657281600,49.35
1657285200,47.35
1657288800,45.95
1657292400,44
1657296000,42.25
1657299600,42.15
1657303200,48.45
1657306800,68.8
1657310400,70.25
1657314000,70
1657317600,71
1657321200,71.4
1657324800,70.6
1657328400,71.85
1657332000,74
1657335600,76.95
1657339200,78.95
1657342800,69.35
1657346400,57.75
1657350000,56.6
1657353600,54.25
1657357200,49.55
1657360800,47.45
1657364400,45.5
1657368000,43.8
1657371600,41.9
1657375200,41.75
1657378800,41.55
1657382400,41.3
1657386000,42.2
1657389600,47.6
1657393200,62.45
1657396800,72.35
1657400400,73.5
1657404000,71.6
1657407600,70.7
1657411200,70.85
1657414800,71.1
1657418400,70.95
1657422000,71.15
1657425600,69.8
1657429200,62.4
1657432800,56.1
1657436400,48.6
1657440000,42.6
1657443600,40.55
1657447200,39.1
1657450800,37.6
1657454400,36.5
1657458000,36.1
1657461600,36.9
1657465200,38.6
1657468800,41.95
1657472400,43.85
1657476000,47.25
