timestamp,precipitation
1657062000,0
1657065600,0
1657069200,0
1657072800,0
1657076400,0
1657080000,0
1657083600,0
1657087200,0
1657090800,0
1657094400,0
1657098000,0
1657101600,0
1657105200,0
1657108800,0
1657112400,0
1657116000,0
1657119600,0
1657123200,0
1657126800,0
1657130400,0
1657134000,0
1657137600,0
1657141200,0
1657144800,0
1657148400,0
1657152000,0
1657155600,0
1657159200,0
1657162800,0
1657166400,0
1657170000,0
1657173600,0
1657177200,0
1657180800,0
1657184400,0
1657188000,0
1657191600,0
1657195200,0
1657198800,0
1657202400,0
1657206000,0
1657209600,0
1657213200,0
1657216800,0
1657220400,10.2
1657224000,1.4
1657227600,0
1657231200,0
1657234800,0
1657238400,0
1657242000,0
1657245600,0
1657249200,0
1657252800,0
1657256400,0
1657260000,0
1657263600,0
1657267200,0
1657270800,0
1657274400,0
1657278000,0
1657281600,0
1657285200,0
1657288800,0
1657292400,0
1657296000,0
1657299600,0
1657303200,0
1657306800,0
1657310400,0
1657314000,0
1657317600,0
1657321200,0
1657324800,0
1657328400,0
1657332000,0
1657335600,0
1657339200,0
1657342800,0
1657346400,0
1657350000,0
1657353600,0
1657357200,0
1657360800,0
1657364400,0
1657368000,0
1657371600,0
1657375200,0
1657378800,0
1657382400,0
1657386000,0
1657389600,0
1657393200,0
1657396800,0
1657400400,0
1657404000,0
1657407600,0
1657411200,0
1657414800,0
1657418400,0
1657422000,0
1657425600,0
1657429200,0
1657432800,0
1657436400,0
1657440000,0
1657443600,0
1657447200,0
1657450800,0
1657454400,0
1657458000,0
1657461600,0
1657465200,0
1657468800,0
1657472400,0
1657476000,0
1657479600,0
1657483200,0
1657486800,0
1657490400,0
1657494000,0
1657497600,0
1657501200,0
1657504800,0
1657508400,0
1657512000,0
1657515600,0
1657519200,0
1657522800,0
1657526400,0
1657530000,0
1657533600,0
1657537200,0
1657540800,0
1657544400,0
1657548000,0
1657551600,0
1657555200,0
1657558800,0
1657562400,0
1657566000,0
1657569600,0
1657573200,0
1657576800,0
1657580400,0
1657584000,0
1657587600,0
1657591200,0
1657594800,0
1657598400,0
1657602000,0
1657605600,0
1657609200,0
1657612800,0
1657616400,0
1657620000,0
1657623600,0
1657627200,0
1657630800,0
1657634400,0
1657638000,0
1657641600,0
1657645200,0
1657648800,0
1657652400,0
1657656000,0
1657659600,0
1657663200,0
1657666800,0
1657670400,0
1657674000,0
1657677600,0
1657681200,0
1657684800,0
1657688400,0
1657692000,0
1657695600,0
1657699200,0
1657702800,0
1657706400,0
1657710000,0
1657713600,0
1657717200,0
1657720800,0
1657724400,0
1657728000,0
1657731600,0
1657735200,0
1657738800,0
1657742400,0
1657746000,0
1657749600,0
1657753200,0
1657756800,0
1657760400,0
1657764000,0
1657767600,0
1657771200,0
1657774800,0
1657778400,0
1657782000,0
1657785600,0
1657789200,0
1657792800,0
1657796400,0
1657800000,0
1657803600,0
1657807200,0
1657810800,0
1657814400,0
1657818000,0
1657821600,0
1657825200,0
1657828800,0
1657832400,0
1657836000,0
1657839600,0
1657843200,0
1657846800,0
1657850400,0
1657854000,0
1657857600,0
1657861200,0
1657864800,0
1657868400,0
1657872000,0
1657875600,0
1657879200,0
1657882800,0
1657886400,0
1657890000,0
1657893600,0
1657897200,0
1657900800,0
1657904400,0
1657908000,0
1657911600,0
1657915200,0
1657918800,0
1657922400,0
1657926000,0
1657929600,0
1657933200,0
1657936800,0
1657940400,0
1657944000,0
1657947600,0
1657951200,0
1657954800,0
1657958400,0
1657962000,0
1657965600,0
1657969200,0
1657972800,0
1657976400,0
1657980000,0
1657983600,0
1657987200,0
1657990800,0
1657994400,0
1657998000,0
1658001600,0
1658005200,0
1658008800,0
1658012400,0
1658016000,0
1658019600,0
1658023200,0
1658026800,0
1658030400,0
1658034000,0
1658037600,0
1658041200,0
1658044800,0
1658048400,0
1658052000,0
1658055600,0
1658059200,0
1658062800,0
1658066400,0
1658070000,0
1658073600,0
1658077200,0
1658080800,0
1658084400,0
1658088000,0
1658091600,0
1658095200,0
1658098800,0
1658102400,0
1658106000,0
1658109600,0
1658113200,0
1658116800,0
1658120400,0
1658124000,0
1658127600,0
1658131200,0
1658134800,0
1658138400,0
1658142000,0
1658145600,0
1658149200,0
1658152800,0
1658156400,0
1658160000,0
1658163600,0
1658167200,0
1658170800,0
1658174400,0
1658178000,0
1658181600,0
1658185200,0
1658188800,0
1658192400,0
1658196000,0
1658199600,0
1658203200,0
1658206800,0
1658210400,0
1658214000,0
1658217600,0
1658221200,0
1658224800,0
1658228400,0
1658232000,0
1658235600,0
1658239200,0
1658242800,0
1658246400,0
1658250000,0
1658253600,0
1658257200,0
1658260800,0
1658264400,0
1658268000,0
1658271600,0
1658275200,0
1658278800,0
1658282400,0
1658286000,0
1658289600,0
1658293200,0
1658296800,0
1658300400,0
