timestamp,wind_speed
1657062000,1.98
1657065600,0
1657069200,0
1657072800,0
1657076400,3.24
1657080000,2.88
1657083600,3.24
1657087200,1.26
1657090800,2.34
1657094400,9
1657098000,7.38
1657101600,9.18
1657105200,12.96
1657108800,6.3
1657112400,8.1
1657116000,5.22
1657119600,4.5
1657123200,5.22
1657126800,4.68
1657130400,1.26
1657134000,0
1657137600,0
1657141200,0.54
1657144800,1.62
1657148400,3.06
1657152000,2.52
1657155600,3.24
1657159200,5.04
1657162800,3.96
1657166400,5.4
1657170000,2.16
1657173600,1.98
1657177200,2.88
1657180800,0.72
1657184400,5.04
1657188000,7.38
1657191600,9.72
1657195200,9.54
1657198800,14.58
1657202400,10.44
1657206000,10.98
1657209600,9
1657213200,9.36
1657216800,2.88
1657220400,5.22
1657224000,6.12
1657227600,3.24
1657231200,1.26
1657234800,4.14
1657238400,3.24
1657242000,1.26
1657245600,3.96
1657249200,4.14
1657252800,1.8
1657256400,3.6
1657260000,1.98
1657263600,2.7
1657267200,6.84
1657270800,6.66
1657274400,4.86
1657278000,9
1657281600,7.92
1657285200,9.18
1657288800,9.18
1657292400,10.08
1657296000,11.16
1657299600,3.78
1657303200,0
1657306800,0
1657310400,3.06
1657314000,3.6
1657317600,4.14
1657321200,5.22
1657324800,4.68
1657328400,1.8
1657332000,2.7
1657335600,3.78
1657339200,0
1657342800,0.9
1657346400,5.22
1657350000,6.84
1657353600,8.28
1657357200,10.08
1657360800,14.58
1657364400,7.74
1657368000,9
1657371600,11.52
1657375200,8.64
1657378800,6.66
1657382400,5.58
1657386000,6.48
1657389600,3.6
1657393200,0
1657396800,1.26
1657400400,2.34
1657404000,1.8
1657407600,5.04
1657411200,3.42
1657414800,3.96
1657418400,6.12
1657422000,4.5
1657425600,3.96
1657429200,4.32
1657432800,2.88
1657436400,2.34
1657440000,4.68
1657443600,5.76
1657447200,9.18
1657450800,3.6
1657454400,6.84
1657458000,8.1
1657461600,10.26
1657465200,9.72
1657468800,10.62
1657472400,10.08
1657476000,3.06
1657479600,0
1657483200,0
1657486800,2.34
1657490400,1.08
1657494000,2.52
1657497600,3.06
1657501200,0.54
1657504800,1.44
1657508400,0.9
1657512000,3.42
1657515600,3.78
1657519200,2.7
1657522800,4.86
1657526400,6.12
1657530000,4.14
1657533600,8.64
1657537200,10.08
1657540800,12.78
1657544400,12.06
1657548000,13.86
1657551600,11.52
1657555200,10.62
1657558800,6.66
1657562400,2.7
1657566000,0
1657569600,0
1657573200,0.54
1657576800,0
1657580400,1.62
1657584000,0
1657587600,0.36
1657591200,1.44
1657594800,0
1657598400,1.8
1657602000,1.62
1657605600,1.8
1657609200,6.3
1657612800,5.22
1657616400,4.68
1657620000,6.48
1657623600,8.82
1657627200,7.02
1657630800,7.92
1657634400,9.72
1657638000,5.76
1657641600,6.84
1657645200,6.66
1657648800,2.16
1657652400,0.54
1657656000,0
1657659600,0
1657663200,0
1657666800,0.18
1657670400,0.9
1657674000,0.18
1657677600,0
1657681200,0.36
1657684800,0.36
1657688400,4.14
1657692000,1.62
1657695600,3.78
1657699200,6.66
1657702800,9.9
1657706400,7.38
1657710000,7.74
1657713600,9.54
1657717200,9
1657720800,4.14
1657724400,11.7
1657728000,9
1657731600,5.76
1657735200,1.26
1657738800,0
1657742400,1.26
1657746000,3.78
1657749600,3.96
1657753200,3.42
1657756800,4.32
1657760400,5.22
1657764000,5.22
1657767600,5.4
1657771200,4.68
1657774800,6.3
1657778400,3.6
1657782000,2.16
1657785600,7.38
1657789200,7.38
1657792800,5.94
1657796400,5.22
1657800000,5.76
1657803600,9.9
1657807200,13.32
1657810800,9.18
1657814400,8.82
1657818000,3.24
1657821600,1.8
1657825200,0
1657828800,0
1657832400,4.14
1657836000,2.88
1657839600,2.34
1657843200,4.68
1657846800,5.94
1657850400,6.66
1657854000,5.58
1657857600,5.04
1657861200,4.14
1657864800,1.98
1657868400,4.5
1657872000,7.38
1657875600,6.84
